Latitude (decimal degrees):	-3.508
Longitude (decimal degrees):	39.841
Elevation (m):	58
Radiation database:	PVGIS-SARAH2


Slope: 6 deg. 
Azimuth: -50 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0005,0.0,0.0,0.0,0.0,25.98,2.83,0.0
20200101:0105,0.0,0.0,0.0,0.0,25.8,2.69,0.0
20200101:0205,0.0,0.0,0.0,0.0,25.56,2.62,0.0
20200101:0305,0.0,0.0,0.0,0.0,25.36,2.69,0.0
20200101:0405,88.65,80.16,0.08,10.93,25.51,2.41,0.0
20200101:0505,317.1,129.48,0.22,24.7,26.8,2.34,0.0
20200101:0605,293.14,269.75,0.3,38.26,27.93,2.62,0.0
20200101:0705,654.6,193.35,0.46,51.26,28.83,3.38,0.0
20200101:0805,803.69,177.37,0.55,62.79,29.6,4.21,0.0
20200101:0905,751.58,236.5,0.57,69.99,29.97,4.69,0.0
20200101:1005,579.54,317.79,0.52,68.06,30.13,4.76,0.0
20200101:1105,767.13,130.76,0.53,58.64,30.29,4.62,0.0
20200101:1205,565.01,145.67,0.43,46.36,30.14,4.55,0.0
20200101:1305,380.12,116.27,0.31,33.08,29.82,5.03,0.0
20200101:1405,170.31,85.48,0.17,19.41,29.13,5.38,0.0
20200101:1505,8.85,28.11,0.03,5.61,28.23,5.45,0.0
20200101:1605,0.0,0.0,0.0,0.0,27.41,5.52,0.0
20200101:1705,0.0,0.0,0.0,0.0,26.92,5.52,0.0
20200101:1805,0.0,0.0,0.0,0.0,26.67,5.45,0.0
20200101:1905,0.0,0.0,0.0,0.0,26.63,5.66,0.0
20200101:2005,0.0,0.0,0.0,0.0,26.52,5.52,0.0
20200101:2105,0.0,0.0,0.0,0.0,26.42,5.45,0.0
20200101:2205,0.0,0.0,0.0,0.0,26.32,5.38,0.0
20200101:2305,0.0,0.0,0.0,0.0,26.26,5.24,0.0
20200102:0005,0.0,0.0,0.0,0.0,26.13,4.97,0.0
20200102:0105,0.0,0.0,0.0,0.0,25.97,4.48,0.0
20200102:0205,0.0,0.0,0.0,0.0,25.93,4.21,0.0
20200102:0305,0.0,0.0,0.0,0.0,25.85,4.0,0.0
20200102:0405,24.53,78.26,0.05,10.83,25.91,3.79,0.0
20200102:0505,269.72,150.53,0.21,24.61,26.57,4.41,0.0
20200102:0605,216.53,294.77,0.28,38.18,27.47,4.69,0.0
20200102:0705,514.24,271.23,0.43,51.21,28.18,3.93,0.0
20200102:0805,786.96,186.54,0.54,62.77,28.98,3.86,0.0
20200102:0905,601.9,323.77,0.53,70.05,29.3,4.28,0.0
20200102:1005,684.02,255.82,0.55,68.18,29.67,4.62,0.0
20200102:1105,634.37,217.29,0.51,58.77,29.77,4.76,0.0
