Latitude (decimal degrees):	-3.508
Longitude (decimal degrees):	39.841
Elevation (m):	58
Radiation database:	PVGIS-SARAH2


Slope: 6 deg. 
Azimuth: -50 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20200101:0005,0.0,0.0,25.98,2.83,0.0
20200101:0105,0.0,0.0,25.8,2.69,0.0
20200101:0205,0.0,0.0,25.56,2.62,0.0
20200101:0305,0.0,0.0,25.36,2.69,0.0
20200101:0405,168.89,10.93,25.51,2.41,0.0
20200101:0505,446.8,24.7,26.8,2.34,0.0
20200101:0605,563.19,38.26,27.93,2.62,0.0
20200101:0705,848.41,51.26,28.83,3.38,0.0
20200101:0805,981.61,62.79,29.6,4.21,0.0
20200101:0905,988.65,69.99,29.97,4.69,0.0
20200101:1005,897.85,68.06,30.13,4.76,0.0
20200101:1105,898.42,58.64,30.29,4.62,0.0
20200101:1205,711.12,46.36,30.14,4.55,0.0
20200101:1305,496.71,33.08,29.82,5.03,0.0
20200101:1405,255.96,19.41,29.13,5.38,0.0
20200101:1505,36.99,5.61,28.23,5.45,0.0
20200101:1605,0.0,0.0,27.41,5.52,0.0
20200101:1705,0.0,0.0,26.92,5.52,0.0
20200101:1805,0.0,0.0,26.67,5.45,0.0
20200101:1905,0.0,0.0,26.63,5.66,0.0
20200101:2005,0.0,0.0,26.52,5.52,0.0
20200101:2105,0.0,0.0,26.42,5.45,0.0
20200101:2205,0.0,0.0,26.32,5.38,0.0
20200101:2305,0.0,0.0,26.26,5.24,0.0
20200102:0005,0.0,0.0,26.13,4.97,0.0
20200102:0105,0.0,0.0,25.97,4.48,0.0
20200102:0205,0.0,0.0,25.93,4.21,0.0
20200102:0305,0.0,0.0,25.85,4.0,0.0
20200102:0405,102.85,10.83,25.91,3.79,0.0
20200102:0505,420.46,24.61,26.57,4.41,0.0
20200102:0605,511.59,38.18,27.47,4.69,0.0
20200102:0705,785.9,51.21,28.18,3.93,0.0
20200102:0805,974.04,62.77,28.98,3.86,0.0
20200102:0905,926.2,70.05,29.3,4.28,0.0
20200102:1005,940.39,68.18,29.67,4.62,0.0
20200102:1105,852.17,58.77,29.77,4.76,0.0
20200102:1205,715.76,46.49,29.51,4.69,0.0
20200102:1305,498.65,33.19,29.25,4.9,0.0
20200102:1405,255.82,19.52,28.78,5.03,0.0
